[14:43:04.836] [INFO   ] thread main starting.
[14:43:04.855] [SEVERE ] cannot read configuration file config.properties trying from resources.
[14:43:04.863] [SEVERE ] configuration file was loaded from resources directory.
[14:43:06.306] [INFO   ] thread dealer starting.
[14:43:06.311] [INFO   ] thread dealer starting.
[14:43:07.598] [SEVERE ] updating countdown to 59950
[14:43:07.599] [SEVERE ] updating countdown to 59949
[14:43:07.599] [SEVERE ] updating countdown to 59949
[14:43:07.599] [SEVERE ] updating countdown to 59949
[14:43:07.600] [SEVERE ] updating countdown to 59948
[14:43:07.600] [SEVERE ] updating countdown to 59948
[14:43:07.600] [SEVERE ] updating countdown to 59948
[14:43:07.601] [SEVERE ] updating countdown to 59947
[14:43:07.601] [SEVERE ] updating countdown to 59947
[14:43:07.601] [SEVERE ] updating countdown to 59947
[14:43:07.602] [SEVERE ] updating countdown to 59946
[14:43:07.602] [SEVERE ] updating countdown to 59946
[14:43:07.602] [SEVERE ] updating countdown to 59946
[14:43:07.602] [SEVERE ] updating countdown to 59946
[14:43:07.603] [SEVERE ] updating countdown to 59945
[14:43:07.603] [SEVERE ] updating countdown to 59945
[14:43:07.603] [SEVERE ] updating countdown to 59945
[14:43:07.604] [SEVERE ] updating countdown to 59944
[14:43:07.604] [SEVERE ] updating countdown to 59944
[14:43:07.604] [SEVERE ] updating countdown to 59944
[14:43:07.605] [SEVERE ] updating countdown to 59943
[14:43:07.605] [SEVERE ] updating countdown to 59943
[14:43:07.605] [SEVERE ] updating countdown to 59943
[14:43:07.606] [SEVERE ] updating countdown to 59942
[14:43:07.606] [SEVERE ] updating countdown to 59942
[14:43:07.607] [SEVERE ] updating countdown to 59941
[14:43:07.608] [SEVERE ] updating countdown to 59940
[14:43:07.608] [SEVERE ] updating countdown to 59940
[14:43:07.609] [SEVERE ] updating countdown to 59939
[14:43:07.609] [SEVERE ] updating countdown to 59939
[14:43:07.609] [SEVERE ] updating countdown to 59939
[14:43:07.610] [SEVERE ] updating countdown to 59938
[14:43:07.610] [SEVERE ] updating countdown to 59938
[14:43:07.611] [SEVERE ] updating countdown to 59937
[14:43:07.612] [SEVERE ] updating countdown to 59936
[14:43:07.613] [SEVERE ] updating countdown to 59935
[14:43:07.613] [SEVERE ] updating countdown to 59935
[14:43:07.614] [SEVERE ] updating countdown to 59934
[14:43:07.614] [SEVERE ] updating countdown to 59934
[14:43:07.614] [SEVERE ] updating countdown to 59934
[14:43:07.615] [SEVERE ] updating countdown to 59933
[14:43:07.615] [SEVERE ] updating countdown to 59933
[14:43:07.615] [SEVERE ] updating countdown to 59933
[14:43:07.616] [SEVERE ] updating countdown to 59932
[14:43:07.616] [SEVERE ] updating countdown to 59932
[14:43:07.616] [SEVERE ] updating countdown to 59932
[14:43:07.617] [SEVERE ] updating countdown to 59931
[14:43:07.617] [SEVERE ] updating countdown to 59931
[14:43:07.617] [SEVERE ] updating countdown to 59931
[14:43:07.618] [SEVERE ] updating countdown to 59930
[14:43:07.618] [SEVERE ] updating countdown to 59930
[14:43:07.618] [SEVERE ] updating countdown to 59930
[14:43:07.619] [SEVERE ] updating countdown to 59929
[14:43:07.619] [SEVERE ] updating countdown to 59929
[14:43:07.619] [SEVERE ] updating countdown to 59929
[14:43:07.619] [SEVERE ] updating countdown to 59929
[14:43:07.620] [SEVERE ] updating countdown to 59928
[14:43:07.620] [SEVERE ] updating countdown to 59928
[14:43:07.620] [SEVERE ] updating countdown to 59928
[14:43:07.621] [SEVERE ] updating countdown to 59928
[14:43:07.621] [SEVERE ] updating countdown to 59927
[14:43:07.621] [SEVERE ] updating countdown to 59927
[14:43:07.621] [SEVERE ] updating countdown to 59927
[14:43:07.622] [SEVERE ] updating countdown to 59926
[14:43:07.622] [SEVERE ] updating countdown to 59926
[14:43:07.622] [SEVERE ] updating countdown to 59926
[14:43:07.622] [SEVERE ] updating countdown to 59926
[14:43:07.623] [SEVERE ] updating countdown to 59925
[14:43:07.624] [SEVERE ] updating countdown to 59924
[14:43:07.625] [SEVERE ] updating countdown to 59923
[14:43:07.625] [SEVERE ] updating countdown to 59923
[14:43:07.625] [SEVERE ] updating countdown to 59923
[14:43:07.626] [SEVERE ] updating countdown to 59922
[14:43:07.626] [SEVERE ] updating countdown to 59922
[14:43:07.626] [SEVERE ] updating countdown to 59922
[14:43:07.627] [SEVERE ] updating countdown to 59921
[14:43:07.627] [SEVERE ] updating countdown to 59921
[14:43:07.628] [SEVERE ] updating countdown to 59920
[14:43:07.629] [SEVERE ] updating countdown to 59919
[14:43:07.630] [SEVERE ] updating countdown to 59918
[14:43:07.630] [SEVERE ] updating countdown to 59918
[14:43:07.630] [SEVERE ] updating countdown to 59918
[14:43:07.631] [SEVERE ] updating countdown to 59917
[14:43:07.631] [SEVERE ] updating countdown to 59917
[14:43:07.631] [SEVERE ] updating countdown to 59917
[14:43:07.631] [SEVERE ] updating countdown to 59917
[14:43:07.632] [SEVERE ] updating countdown to 59916
[14:43:07.632] [SEVERE ] updating countdown to 59916
[14:43:07.632] [SEVERE ] updating countdown to 59916
[14:43:07.633] [SEVERE ] updating countdown to 59915
[14:43:07.633] [SEVERE ] updating countdown to 59915
[14:43:07.633] [SEVERE ] updating countdown to 59915
[14:43:07.633] [SEVERE ] updating countdown to 59915
[14:43:07.633] [SEVERE ] updating countdown to 59915
[14:43:07.634] [SEVERE ] updating countdown to 59914
[14:43:07.634] [SEVERE ] updating countdown to 59914
[14:43:07.634] [SEVERE ] updating countdown to 59914
[14:43:07.634] [SEVERE ] updating countdown to 59914
[14:43:07.635] [SEVERE ] updating countdown to 59913
[14:43:07.635] [SEVERE ] updating countdown to 59913
[14:43:07.635] [SEVERE ] updating countdown to 59913
[14:43:07.635] [SEVERE ] updating countdown to 59913
[14:43:07.636] [SEVERE ] updating countdown to 59912
[14:43:07.636] [SEVERE ] updating countdown to 59912
[14:43:07.636] [SEVERE ] updating countdown to 59912
[14:43:07.636] [SEVERE ] updating countdown to 59912
[14:43:07.637] [SEVERE ] updating countdown to 59911
[14:43:07.637] [SEVERE ] updating countdown to 59911
[14:43:07.637] [SEVERE ] updating countdown to 59911
[14:43:07.637] [SEVERE ] updating countdown to 59911
[14:43:07.637] [SEVERE ] updating countdown to 59911
[14:43:07.638] [SEVERE ] updating countdown to 59910
[14:43:07.638] [SEVERE ] updating countdown to 59910
[14:43:07.638] [SEVERE ] updating countdown to 59910
[14:43:07.639] [SEVERE ] updating countdown to 59909
[14:43:07.639] [SEVERE ] updating countdown to 59909
[14:43:07.639] [SEVERE ] updating countdown to 59909
[14:43:07.639] [SEVERE ] updating countdown to 59909
[14:43:07.640] [SEVERE ] updating countdown to 59908
[14:43:07.641] [SEVERE ] updating countdown to 59907
[14:43:07.641] [SEVERE ] updating countdown to 59907
[14:43:07.642] [SEVERE ] updating countdown to 59906
[14:43:07.642] [SEVERE ] updating countdown to 59906
[14:43:07.642] [SEVERE ] updating countdown to 59906
[14:43:07.643] [SEVERE ] updating countdown to 59905
[14:43:07.643] [SEVERE ] updating countdown to 59905
[14:43:07.643] [SEVERE ] updating countdown to 59905
[14:43:07.643] [SEVERE ] updating countdown to 59905
[14:43:07.644] [SEVERE ] updating countdown to 59904
[14:43:07.644] [SEVERE ] updating countdown to 59904
[14:43:07.645] [SEVERE ] updating countdown to 59903
[14:43:07.646] [SEVERE ] updating countdown to 59902
[14:43:07.646] [SEVERE ] updating countdown to 59902
[14:43:07.647] [SEVERE ] updating countdown to 59901
[14:43:07.647] [SEVERE ] updating countdown to 59901
[14:43:07.648] [SEVERE ] updating countdown to 59900
[14:43:07.648] [SEVERE ] updating countdown to 59900
[14:43:07.648] [SEVERE ] updating countdown to 59900
[14:43:07.648] [SEVERE ] updating countdown to 59900
[14:43:07.649] [SEVERE ] updating countdown to 59899
[14:43:07.649] [SEVERE ] updating countdown to 59899
[14:43:07.649] [SEVERE ] updating countdown to 59899
[14:43:07.649] [SEVERE ] updating countdown to 59899
[14:43:07.650] [SEVERE ] updating countdown to 59898
[14:43:07.650] [SEVERE ] updating countdown to 59898
[14:43:07.650] [SEVERE ] updating countdown to 59898
[14:43:07.651] [SEVERE ] updating countdown to 59897
[14:43:07.651] [SEVERE ] updating countdown to 59897
[14:43:07.651] [SEVERE ] updating countdown to 59897
[14:43:07.651] [SEVERE ] updating countdown to 59897
[14:43:07.652] [SEVERE ] updating countdown to 59896
[14:43:07.652] [SEVERE ] updating countdown to 59896
[14:43:07.652] [SEVERE ] updating countdown to 59896
[14:43:07.653] [SEVERE ] updating countdown to 59895
[14:43:07.653] [SEVERE ] updating countdown to 59895
[14:43:07.653] [SEVERE ] updating countdown to 59895
[14:43:07.654] [SEVERE ] updating countdown to 59894
[14:43:07.654] [SEVERE ] updating countdown to 59894
[14:43:07.654] [SEVERE ] updating countdown to 59894
[14:43:07.654] [SEVERE ] updating countdown to 59894
[14:43:07.655] [SEVERE ] updating countdown to 59893
[14:43:07.655] [SEVERE ] updating countdown to 59893
[14:43:07.656] [SEVERE ] updating countdown to 59892
[14:43:07.656] [SEVERE ] updating countdown to 59892
[14:43:07.657] [SEVERE ] updating countdown to 59891
[14:43:07.658] [SEVERE ] updating countdown to 59890
[14:43:07.658] [SEVERE ] updating countdown to 59890
[14:43:07.659] [SEVERE ] updating countdown to 59889
[14:43:07.659] [SEVERE ] updating countdown to 59889
[14:43:07.659] [SEVERE ] updating countdown to 59889
[14:43:07.660] [SEVERE ] updating countdown to 59888
[14:43:07.660] [SEVERE ] updating countdown to 59888
[14:43:07.660] [SEVERE ] updating countdown to 59888
[14:43:07.661] [SEVERE ] updating countdown to 59887
[14:43:07.662] [SEVERE ] updating countdown to 59886
[14:43:07.663] [SEVERE ] updating countdown to 59886
[14:43:07.663] [SEVERE ] updating countdown to 59885
[14:43:07.663] [SEVERE ] updating countdown to 59885
[14:43:07.663] [SEVERE ] updating countdown to 59885
[14:43:07.664] [SEVERE ] updating countdown to 59884
[14:43:07.664] [SEVERE ] updating countdown to 59884
[14:43:07.664] [SEVERE ] updating countdown to 59884
[14:43:07.664] [SEVERE ] updating countdown to 59884
[14:43:07.665] [SEVERE ] updating countdown to 59883
[14:43:07.665] [SEVERE ] updating countdown to 59883
[14:43:07.665] [SEVERE ] updating countdown to 59883
[14:43:07.665] [SEVERE ] updating countdown to 59883
[14:43:07.665] [SEVERE ] updating countdown to 59883
[14:43:07.666] [SEVERE ] updating countdown to 59882
[14:43:07.666] [SEVERE ] updating countdown to 59882
[14:43:07.666] [SEVERE ] updating countdown to 59882
[14:43:07.667] [SEVERE ] updating countdown to 59881
[14:43:07.667] [SEVERE ] updating countdown to 59881
[14:43:07.667] [SEVERE ] updating countdown to 59881
[14:43:07.667] [SEVERE ] updating countdown to 59881
[14:43:07.668] [SEVERE ] updating countdown to 59880
[14:43:07.668] [SEVERE ] updating countdown to 59880
[14:43:07.668] [SEVERE ] updating countdown to 59880
[14:43:07.668] [SEVERE ] updating countdown to 59880
[14:43:07.669] [SEVERE ] updating countdown to 59879
[14:43:07.669] [SEVERE ] updating countdown to 59879
[14:43:07.669] [SEVERE ] updating countdown to 59879
[14:43:07.669] [SEVERE ] updating countdown to 59879
[14:43:07.669] [SEVERE ] updating countdown to 59879
[14:43:07.670] [SEVERE ] updating countdown to 59879
[14:43:07.670] [SEVERE ] updating countdown to 59878
[14:43:07.670] [SEVERE ] updating countdown to 59878
[14:43:07.670] [SEVERE ] updating countdown to 59878
[14:43:07.670] [SEVERE ] updating countdown to 59878
[14:43:07.671] [SEVERE ] updating countdown to 59877
[14:43:07.671] [SEVERE ] updating countdown to 59877
[14:43:07.671] [SEVERE ] updating countdown to 59877
[14:43:07.671] [SEVERE ] updating countdown to 59877
[14:43:07.671] [SEVERE ] updating countdown to 59877
[14:43:07.672] [SEVERE ] updating countdown to 59876
[14:43:07.672] [SEVERE ] updating countdown to 59876
[14:43:07.672] [SEVERE ] updating countdown to 59876
[14:43:07.672] [SEVERE ] updating countdown to 59876
[14:43:07.672] [SEVERE ] updating countdown to 59876
[14:43:07.673] [SEVERE ] updating countdown to 59875
[14:43:07.673] [SEVERE ] updating countdown to 59875
[14:43:07.673] [SEVERE ] updating countdown to 59875
[14:43:07.674] [SEVERE ] updating countdown to 59874
[14:43:07.674] [SEVERE ] updating countdown to 59874
[14:43:07.674] [SEVERE ] updating countdown to 59874
[14:43:07.675] [SEVERE ] updating countdown to 59873
[14:43:07.675] [SEVERE ] updating countdown to 59873
[14:43:07.675] [SEVERE ] updating countdown to 59873
[14:43:07.675] [SEVERE ] updating countdown to 59873
[14:43:07.675] [SEVERE ] updating countdown to 59873
[14:43:07.676] [SEVERE ] updating countdown to 59872
[14:43:07.676] [SEVERE ] updating countdown to 59872
[14:43:07.676] [SEVERE ] updating countdown to 59872
[14:43:07.676] [SEVERE ] updating countdown to 59872
[14:43:07.677] [SEVERE ] updating countdown to 59871
[14:43:07.677] [SEVERE ] updating countdown to 59871
[14:43:07.678] [SEVERE ] updating countdown to 59870
[14:43:07.678] [SEVERE ] updating countdown to 59870
[14:43:07.679] [SEVERE ] updating countdown to 59869
[14:43:07.679] [SEVERE ] updating countdown to 59869
[14:43:07.679] [SEVERE ] updating countdown to 59869
[14:43:07.679] [SEVERE ] updating countdown to 59869
[14:43:07.680] [SEVERE ] updating countdown to 59868
[14:43:07.680] [SEVERE ] updating countdown to 59868
[14:43:07.680] [SEVERE ] updating countdown to 59868
[14:43:07.680] [SEVERE ] updating countdown to 59868
[14:43:07.681] [SEVERE ] updating countdown to 59867
[14:43:07.681] [SEVERE ] updating countdown to 59867
[14:43:07.681] [SEVERE ] updating countdown to 59867
[14:43:07.681] [SEVERE ] updating countdown to 59867
[14:43:07.681] [SEVERE ] updating countdown to 59867
[14:43:07.682] [SEVERE ] updating countdown to 59866
[14:43:07.682] [SEVERE ] updating countdown to 59866
[14:43:07.682] [SEVERE ] updating countdown to 59866
[14:43:07.682] [SEVERE ] updating countdown to 59866
[14:43:07.683] [SEVERE ] updating countdown to 59865
[14:43:07.683] [SEVERE ] updating countdown to 59865
[14:43:07.683] [SEVERE ] updating countdown to 59865
[14:43:07.683] [SEVERE ] updating countdown to 59865
[14:43:07.683] [SEVERE ] updating countdown to 59865
[14:43:07.683] [SEVERE ] updating countdown to 59865
[14:43:07.684] [SEVERE ] updating countdown to 59864
[14:43:07.684] [SEVERE ] updating countdown to 59864
[14:43:07.684] [SEVERE ] updating countdown to 59864
[14:43:07.684] [SEVERE ] updating countdown to 59864
[14:43:07.684] [SEVERE ] updating countdown to 59864
[14:43:07.685] [SEVERE ] updating countdown to 59863
[14:43:07.685] [SEVERE ] updating countdown to 59863
[14:43:07.685] [SEVERE ] updating countdown to 59863
[14:43:07.685] [SEVERE ] updating countdown to 59863
[14:43:07.686] [SEVERE ] updating countdown to 59862
[14:43:07.686] [SEVERE ] updating countdown to 59862
[14:43:07.686] [SEVERE ] updating countdown to 59862
[14:43:07.686] [SEVERE ] updating countdown to 59862
[14:43:07.686] [SEVERE ] updating countdown to 59862
[14:43:07.687] [SEVERE ] updating countdown to 59861
[14:43:07.687] [SEVERE ] updating countdown to 59861
[14:43:07.687] [SEVERE ] updating countdown to 59861
[14:43:07.687] [SEVERE ] updating countdown to 59861
[14:43:07.688] [SEVERE ] updating countdown to 59860
[14:43:07.688] [SEVERE ] updating countdown to 59860
[14:43:07.688] [SEVERE ] updating countdown to 59860
[14:43:07.688] [SEVERE ] updating countdown to 59860
[14:43:07.689] [SEVERE ] updating countdown to 59859
[14:43:07.689] [SEVERE ] updating countdown to 59859
[14:43:07.689] [SEVERE ] updating countdown to 59859
[14:43:07.689] [SEVERE ] updating countdown to 59859
[14:43:07.690] [SEVERE ] updating countdown to 59858
[14:43:07.691] [SEVERE ] updating countdown to 59857
[14:43:07.691] [SEVERE ] updating countdown to 59857
[14:43:07.691] [SEVERE ] updating countdown to 59857
[14:43:07.691] [SEVERE ] updating countdown to 59857
[14:43:07.692] [SEVERE ] updating countdown to 59856
[14:43:07.692] [SEVERE ] updating countdown to 59856
[14:43:07.692] [SEVERE ] updating countdown to 59856
[14:43:07.692] [SEVERE ] updating countdown to 59856
[14:43:07.693] [SEVERE ] updating countdown to 59855
[14:43:07.693] [SEVERE ] updating countdown to 59855
[14:43:07.693] [SEVERE ] updating countdown to 59855
[14:43:07.693] [SEVERE ] updating countdown to 59855
[14:43:07.694] [SEVERE ] updating countdown to 59854
[14:43:07.694] [SEVERE ] updating countdown to 59854
[14:43:07.695] [SEVERE ] updating countdown to 59853
[14:43:07.696] [SEVERE ] updating countdown to 59852
[14:43:07.696] [SEVERE ] updating countdown to 59852
[14:43:07.696] [SEVERE ] updating countdown to 59852
[14:43:07.696] [SEVERE ] updating countdown to 59852
[14:43:07.697] [SEVERE ] updating countdown to 59851
[14:43:07.697] [SEVERE ] updating countdown to 59851
[14:43:07.697] [SEVERE ] updating countdown to 59851
[14:43:07.698] [SEVERE ] updating countdown to 59850
[14:43:07.698] [SEVERE ] updating countdown to 59850
[14:43:07.698] [SEVERE ] updating countdown to 59850
[14:43:07.698] [SEVERE ] updating countdown to 59850
[14:43:07.698] [SEVERE ] updating countdown to 59850
[14:43:07.699] [SEVERE ] updating countdown to 59849
[14:43:07.699] [SEVERE ] updating countdown to 59849
[14:43:07.699] [SEVERE ] updating countdown to 59849
[14:43:07.699] [SEVERE ] updating countdown to 59849
[14:43:07.700] [SEVERE ] updating countdown to 59848
[14:43:07.700] [SEVERE ] updating countdown to 59848
[14:43:07.700] [SEVERE ] updating countdown to 59848
[14:43:07.700] [SEVERE ] updating countdown to 59848
[14:43:07.700] [SEVERE ] updating countdown to 59848
[14:43:07.701] [SEVERE ] updating countdown to 59847
[14:43:07.701] [SEVERE ] updating countdown to 59847
[14:43:07.701] [SEVERE ] updating countdown to 59847
[14:43:07.701] [SEVERE ] updating countdown to 59847
[14:43:07.701] [SEVERE ] updating countdown to 59847
[14:43:07.702] [SEVERE ] updating countdown to 59846
[14:43:07.702] [SEVERE ] updating countdown to 59846
[14:43:07.702] [SEVERE ] updating countdown to 59846
[14:43:07.702] [SEVERE ] updating countdown to 59846
[14:43:07.703] [SEVERE ] updating countdown to 59845
[14:43:07.703] [SEVERE ] updating countdown to 59845
[14:43:07.703] [SEVERE ] updating countdown to 59845
[14:43:07.703] [SEVERE ] updating countdown to 59845
[14:43:07.703] [SEVERE ] updating countdown to 59845
[14:43:07.704] [SEVERE ] updating countdown to 59844
[14:43:07.704] [SEVERE ] updating countdown to 59844
[14:43:07.704] [SEVERE ] updating countdown to 59844
[14:43:07.704] [SEVERE ] updating countdown to 59844
[14:43:07.704] [SEVERE ] updating countdown to 59844
[14:43:07.705] [SEVERE ] updating countdown to 59843
[14:43:07.705] [SEVERE ] updating countdown to 59843
[14:43:07.705] [SEVERE ] updating countdown to 59843
[14:43:07.705] [SEVERE ] updating countdown to 59843
[14:43:07.706] [SEVERE ] updating countdown to 59842
[14:43:07.706] [SEVERE ] updating countdown to 59842
[14:43:07.706] [SEVERE ] updating countdown to 59842
[14:43:07.706] [SEVERE ] updating countdown to 59842
[14:43:07.707] [SEVERE ] updating countdown to 59841
[14:43:07.708] [SEVERE ] updating countdown to 59840
[14:43:07.708] [SEVERE ] updating countdown to 59840
[14:43:07.708] [SEVERE ] updating countdown to 59840
[14:43:07.709] [SEVERE ] updating countdown to 59839
[14:43:07.709] [SEVERE ] updating countdown to 59839
[14:43:07.709] [SEVERE ] updating countdown to 59839
[14:43:07.709] [SEVERE ] updating countdown to 59839
[14:43:07.709] [SEVERE ] updating countdown to 59839
[14:43:07.710] [SEVERE ] updating countdown to 59838
[14:43:07.710] [SEVERE ] updating countdown to 59838
[14:43:07.710] [SEVERE ] updating countdown to 59838
[14:43:07.711] [SEVERE ] updating countdown to 59837
[14:43:07.712] [SEVERE ] updating countdown to 59836
[14:43:07.712] [SEVERE ] updating countdown to 59836
[14:43:07.713] [SEVERE ] updating countdown to 59835
[14:43:07.713] [SEVERE ] updating countdown to 59835
[14:43:07.713] [SEVERE ] updating countdown to 59835
[14:43:07.713] [SEVERE ] updating countdown to 59835
[14:43:07.714] [SEVERE ] updating countdown to 59834
[14:43:07.714] [SEVERE ] updating countdown to 59834
[14:43:07.714] [SEVERE ] updating countdown to 59834
[14:43:07.714] [SEVERE ] updating countdown to 59834
[14:43:07.715] [SEVERE ] updating countdown to 59833
[14:43:07.715] [SEVERE ] updating countdown to 59833
[14:43:07.715] [SEVERE ] updating countdown to 59833
[14:43:07.715] [SEVERE ] updating countdown to 59833
[14:43:07.716] [SEVERE ] updating countdown to 59832
[14:43:07.716] [SEVERE ] updating countdown to 59832
[14:43:07.716] [SEVERE ] updating countdown to 59832
[14:43:07.716] [SEVERE ] updating countdown to 59832
[14:43:07.716] [SEVERE ] updating countdown to 59832
[14:43:07.717] [SEVERE ] updating countdown to 59831
[14:43:07.717] [SEVERE ] updating countdown to 59831
[14:43:07.717] [SEVERE ] updating countdown to 59831
[14:43:07.717] [SEVERE ] updating countdown to 59831
[14:43:07.718] [SEVERE ] updating countdown to 59830
[14:43:07.718] [SEVERE ] updating countdown to 59830
[14:43:07.718] [SEVERE ] updating countdown to 59830
[14:43:07.718] [SEVERE ] updating countdown to 59830
[14:43:07.718] [SEVERE ] updating countdown to 59830
[14:43:07.719] [SEVERE ] updating countdown to 59829
[14:43:07.719] [SEVERE ] updating countdown to 59829
[14:43:07.719] [SEVERE ] updating countdown to 59829
[14:43:07.719] [SEVERE ] updating countdown to 59829
[14:43:07.719] [SEVERE ] updating countdown to 59829
[14:43:07.720] [SEVERE ] updating countdown to 59828
[14:43:07.720] [SEVERE ] updating countdown to 59828
[14:43:07.720] [SEVERE ] updating countdown to 59828
[14:43:07.720] [SEVERE ] updating countdown to 59828
[14:43:07.721] [SEVERE ] updating countdown to 59827
[14:43:07.721] [SEVERE ] updating countdown to 59827
[14:43:07.721] [SEVERE ] updating countdown to 59827
[14:43:07.721] [SEVERE ] updating countdown to 59827
[14:43:07.722] [SEVERE ] updating countdown to 59826
[14:43:07.722] [SEVERE ] updating countdown to 59826
[14:43:07.722] [SEVERE ] updating countdown to 59826
